,count
,0.32815683326089495
the,-0.12697185456060073
to,-0.020358266470987277
a,0.020801353928460976
in,0.15903379043861784
of,-0.021845255592565584
and,-0.29108590014162355
http://t,5.961618621338103
for,-0.12170343311050034
on,0.31908133137802774
-,0.7321581086697629
is,0.0526532652870734
https://t,-0.9624142943179057
with,0.32825323274041246
our,-0.09057665499017278
at,0.512052003054868
we,-0.4225976487975292
i,-0.31027499163057704
my,0.25008845989107614
&amp;,0.853084543456724
this,0.039683934354296076
will,-0.2816703735413802
are,0.17277021210710605
be,0.1030350419345794
more,0.30357714484206244
people,0.18109558840412476
great,0.2668252522465999
today,-0.2216260337582889
that,-0.5965321231251655
about,0.727814135230722
by,0.1569980368250642
from,0.1938076239924865
you,-0.2640104892198837
have,-0.23108846995278456
rt,-1.6493016735293442
i'm,0.8707805612355993
uk,-0.08888690694825523
as,-0.1013094269468124
can,0.0857854085997999
britain,0.09508271374408442
an,0.05849326631179242
help,0.4465218608777121
all,-0.37852019953129795
new,0.26333368664109685
it,-0.5934179267598653
eu,0.7542250955062703
has,-0.2944894506798059
plan,0.9507828460864044
who,-0.29645524647699373
how,0.8967156248161288
security,1.4068083793664665
out,0.17947089267712282
jobs,1.4705905661682228
why,0.14060422704938785
was,-0.2041668123865203
their,-0.5692100059957691
so,0.23328134157469482
we're,1.8342085643408867
it's,1.0718530182731152
just,0.46877766085590566
been,0.45980899087314536
vote,0.3862206342156561
see,0.7609140836570669
your,-0.010795419405980592
economy,0.7416827217291793
up,0.6211521412819082
future,0.1630770829014464
one,0.0577165672436202
work,-0.2942130930713041
working,0.36256644331776655
i've,1.6046341226963865
british,0.35187115420101867
better,0.6395532266527996
his,0.46205871060716075
good,0.14360497948862616
meeting,0.6613844883100338
i'll,1.790533500838225
families,1.1843976972679096
everyone,-0.142954128218531
proud,0.25008845989107614
#longtermeconomicplan,3.5335028058968483
but,-0.12940116181382746
those,-0.2423880252067179
thoughts,0.9840576349712769
get,-0.26870533352409126
news,1.1663791917652313
must,0.39741317464793474
they,-0.36472687739896203
first,0.4837033110725814
talking,1.2309177129028024
support,-0.4978669571638642
economic,2.0278616871443913
day,-0.16976538566918778
country,-0.9984639760679482
want,-0.29257776973057326
if,0.5229554465577166
state,1.969874429494042
do,-0.5558542148142136
helping,0.3604365170599416
world,-0.29645524647699373
conservative,0.2813410033951807
what,0.147809610770658
make,-0.36301601299533276
family,1.3644491055273251
europe,1.9240648934627476
us,-0.5340304988745956
delighted,0.4453972122118421
congratulations,-0.012275804576414888
would,0.35544897554890237
over,0.09351939919953625
off,1.437254145900631
year,-0.22206802271576034
campaign,0.12087672841107003
clear,0.5038689806671759
government,-0.6382284199406727
now,-0.1013094269468124
best,-0.7174955663706294
today's,1.5673899495240153
business,0.7789325891597452
part,0.611878504496579
hardworking,3.176827861958116
home,0.40423913971833436
keep,0.286456104061951
#strongerin,3.176827861958116
tax,0.6739027066674371
secretary,0.9432356404510216
since,-0.3439678180246382
remain,1.5123301723409879
minister,-0.9557693591306311
together,-0.17406878122924077
need,-0.7891004083062326
referendum,2.004107601136284
back,0.15828091063795355
life,0.310713081707511
important,0.13886282478085188
he,0.8860772266110728
children,0.49854981918957586
me,-0.5200197618049975
president,0.9840576349712765
meet,-0.13475736101435246
where,0.04756419577960226
many,-0.047745984024722694
morning,0.45772782466932077
plans,1.9240648934627478
not,-0.5036833424853039
right,-0.37852019953129795
than,-0.06836527122745839
@conservatives:,-1.405095474331228
strong,-0.2564727650884569
join,0.6990386799389794
them,-0.49488378853345527
after,0.39318930353174947
secure,0.3190813313780276
time,-0.5075972418064404
should,-0.0863837767301367
growth,2.9581386609932863
there,-0.26073716387491463
no10,2.9581386609932863
no,-0.2199151693546595
done,0.6555535679992405
next,-0.5682218636228752
find,1.3262278927071274
we'll,2.2195291063565836
like,0.204626085814319
making,0.5147810141181584
pay,0.4912505167079642
being,0.40423913971833453
businesses,0.11655706726655346
her,-0.5448414149788114
means,0.919138088871961
long,0.6678236605910549
long-term,1.7664359492591646
–,-1.4116178810887812
very,-0.526940204649571
team,-0.20416681238652004
ensure,-0.10408335382953748
only,0.06776690309712158
watch,-0.18069445620137806
young,0.2500884598910763
video,2.815037817352613
message,1.7164255286845034
hear,2.1218906367926675
last,-0.44305872066886903
national,-0.2760046360057029
leave,-0.36301601299533265
tonight,0.591837753613133
say,0.30415568116135194
election,0.39116705815098174
labour,0.39116705815098174
cabinet,1.179624418515252
him,1.6904500422812425
much,0.2241129734878155
across,-0.25546010677407066
show,0.2774874340791907
its,-0.282128353856232
pm,-1.9289537983619527
safer,2.734995109679076
deliver,-0.5972094004961276
welcome,0.09593778006381777
days,0.9432356404510215
win,2.041847929119131
that's,-0.18354752518378442
huge,0.06776690309712179
please,0.5095996553761609
well,0.6273826910325443
million,-0.28890804084161076
"stronger,",1.0973863202782799
speech,0.6273826910325443
happy,-0.1263891113438358
some,0.30892895991400976
small,1.3205298715924896
real,0.48061211850290847
delivering,0.11288733837759121
made,-0.26660228332731245
or,-0.030213505263082096
doing,0.2799414230407573
way,-0.030213505263082096
leaving,1.261689371569556
celebrating,0.25008845989107614
visit,0.1630770829014464
around,-0.18522961136676924
london,0.6713019249673797
deal,-1.1439880416708694
create,0.21931680122432243
another,1.5185997853545834
#reshuffle,1.9240648934627476
hard,-0.021845255592565584
against,1.2309177129028024
ed,2.5854633757081125
local,-0.7818324542783613
here's,0.6395532266527995
years,-0.7103734902962163
vital,0.5060218340282767
key,0.7937039064800576
we've,0.25008845989107614
down,-0.0863837767301367
